File,Type,Risk,Value
credentials.txt,password,high,password=admin123
credentials.txt,api_key,high,api_key=1234567890abcdef
credentials.txt,api_key,high,token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9
credentials.txt,jwt_token,high,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE
credentials.txt,env_api_key,high,api_key=1234567890abcdef
credentials.txt,iban,high,in123
credentials.txt,iban,high,Jf36POk6yJV
credentials.txt,swift_code,medium,username
credentials.txt,swift_code,medium,password
credentials.txt,jwt,high,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE
credentials.txt,base64_encoded,medium,eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ
credentials.txt,high_entropy,medium,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9
credentials.txt,high_entropy,medium,eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ
credentials.txt,high_entropy,medium,SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c
